bikerack,wkt,contributor,modified,access,type,capacity,covered,parking,description,label,area,streetName,prove,cluster
http://linkedgeodata.org/triplify/node885670019,POINT(11.1239126 46.0683792),http://linkedgeodata.org/triplify/user330007,2011-11-14T22:10:49,,,,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.1,"LINESTRING (11.120087808597471 46.06986895126588, 11.120073561819622 46.06992793608558)",,,,monofacciale,8,,,passaggio Peterlongo  n.posti  8  -  monofacciale,passaggio Peterlongo  n.posti  8  -  monofacciale,ZTL,passaggio Peterlongo,trento,
http://linkedgeodata.org/triplify/node1962487950,POINT(11.1245599 46.0691811),http://linkedgeodata.org/triplify/user330007,2012-10-13T14:37:05,,,4,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.9,"LINESTRING (11.123951873553324 46.069911430592434, 11.124063157811932 46.06994382803821)",,,,monofacciale,12,,,via S. Marco  n.posti  12  -  monofacciale,via S. Marco  n.posti  12  -  monofacciale,ZTL,via S. Marco,trento,
http://linkedgeodata.org/triplify/node991770499,POINT(11.1271361 46.0659516),http://linkedgeodata.org/triplify/user24966,2011-04-21T17:20:06,,,,,,,,,,osm,
http://example.org/resource/crowdsourcing-bikeracks-2018-02/bikerack21,POINT (11.1234124245 46.0672646223),,,,,,,,,,,,qrowd,
http://linkedgeodata.org/triplify/node1331468407,POINT(11.1235993 46.0656258),http://linkedgeodata.org/triplify/user330007,2012-05-05T17:46:17,,,,,,,,,,osm,
http://linkedgeodata.org/triplify/node1962487951,POINT(11.1244596 46.0691813),http://linkedgeodata.org/triplify/user330007,2012-10-13T14:37:05,,,4,,,,,,,osm,
http://linkedgeodata.org/triplify/node1312440642,POINT(11.1194539 46.0708557),http://linkedgeodata.org/triplify/user330007,2011-06-05T01:19:28,,,1,,,,,,,osm,
http://qrowd-project.eu/resource/rastrelliere.27,"LINESTRING (11.120142518955408 46.067131690313246, 11.120204974654163 46.06713436087712)",,,,monofacciale,8,,,via Don Rizzi  n.posti  8  -  monofacciale,via Don Rizzi  n.posti  8  -  monofacciale,ZTL,via Don Rizzi,trento,
